Price,Details,Bedrooms,Area,Location
" 4,500 PLN +bills per month ","                    Modern, nice apartment located in Kolejowa Street – 19 District, Wola, Warsaw. Living room with kitchen annex, bedroom and bathroom with walk in shower. Beautiful, green view for partio side. Ap [more] ",1,37 m2,"Wola, Warsaw"
" 4,500 PLN +bills per month ","                    NICE, spacious 3 rooms apartment , living room with open kitchen, 2 bedrooms, bathroom, garden ( 65m2), Klimczaka Street , Wilanów area- Miasteczko Wilanów. Apartment complex with security and cameras [more] ",2,65 m2,"Wilanow, Warsaw"
" 4,220 PLN +administrative rent + bills ","                    MODERN, quiet, two-room apartment, to a high standard, in the Triton Park estate in Ochota, near Szczęśliwicki Park – GRÓJECKA 194 A flat with a loggia of the area 56.4 m2 Apartment is fully fur [more] ",1,56 m2,"Ochota, Warsaw"
" 4,000 PLN + bills per month ","                    Ideal for people working in Ochota, Mokotów or Śródmieście districts. For those who value direct access to the dynamic life of the city, but seek relaxation in a quiet and green place. For non-smokers [more] ",1,44 m2,"Ochota, Warsaw"
" 4,000 PLN +bills per month ","                    Apartment in the La Tour Residance building in the OCHOTA district of Warsaw, Aleja Bohaterów Września 22, 3rd floor. Building with reception, underground parking, fitness room with sauna. Good locati [more] ",1,52 m2,"Ochota, Warsaw"
" 2,900 PLN + bills (around 425 PLN)","                    A cozy, newly renovated studio apartment – in a tenement house in the strict city center of Warsaw at Poznańska street. The apartment consists of a spacious living room partly connected to the k [more] ",1,30 m2,"Srodmiescie Warsaw, Warsaw"
" 3,200 PLN + bills per month","                    Studio available from MAY Renting is for MAX 7 months. The apartment consists of: – very functional layout – separate kitchen space with a large window – overlooks a quiet, fenced ba [more] ",1,20 m2,"Srodmiescie Warsaw, Warsaw"
" 3,580 PLN + administrative bills","                    FOR RENT 2 room apartment located near Pola Mokotowskie – Chodkiewicza Street. The flat consists of: Living room with: TV, sofa and table for 6 people; Bedroom with a large double bed 160cmx200c [more] ",1,49 m2,"Mokotow, Warsaw"
" 5,000 PLN ","                    A two-room apartment with an area of 35 m2 located on the 7th floor in the new part of the Mennica Residence building. The apartment is furnished in warm, subdued colors with a high standard of finish [more] ",1,35 m2,"Wola, Warsaw"
" 8,500 PLN + utilities","                    Apartment for rent located in Warsaw at Grzybowska 85 A street near to Rondo Daszyńskiego, next to the Warsaw Uprising Museum. The flat has around 70 m 2 plus a loggia and is located on 5th floor. Num [more] ",2,70 m2,"Wola, Warsaw"
