Price/PLN,Utility Price,Availability,Bedrooms,Area/m2,Location/Warsaw
14500,Bills not included,April,4,365,Wilanow
13000,Bills not included,December,1,116,Srodmiescie
10000,Bills not included,July,4,130,Srodmiescie
10000,Bills not included,October,2,85,Mokotow
9500,Bills not included,January,3,95,Srodmiescie
9500,Bills not included,November,2,70,Srodmiescie
9000,Bills Included,October,2,110,Srodmiescie
8900,Bills Included,June,1,64,Mokotow
8500,Bills not included,March,2,70,Wola
8000,Bills Included,June,1,51,Srodmiescie
8000,Bills not included,October,3,80,Srodmiescie
7800,Bills not included,March,5,80,Wola
7800,Bills Included,August,3,150,Ochota
7570,Bills not included,November,2,75,Srodmiescie
7500,Bills Included,September,3,84,Wola
7200,Bills not included,October,3,91,Mokotow
7000,Bills Included,October,3,80,Bemowo
7000,Bills not included,January,3,91,Srodmiescie
6900,Bills not included,March,2,68,Srodmiescie
6700,Bills not included,March,2,87,Praga Południe
6500,Bills not included,February,4,60,Srodmiescie
6500,Bills not included,January,3,80,Ochota
6500,Bills Included,February,3,65,Srodmiescie
6500,Bills not included,February,2,56,Srodmiescie
6500,Bills Included,January,1,60,Srodmiescie
6500,Bills not included,September,4,100,Srodmiescie
6200,Bills not included,April,2,80,Praga Południe
6200,Bills not included,January,2,80,Srodmiescie
6150,Bills Included,February,1,50,Wola
6100,Bills not included,April,2,75,Wola
6000,Bills Included,January,1,34,Srodmiescie
6000,Bills not included,August,3,78,Mokotow
5900,Bills not included,January,2,61,Wola
5900,Bills not included,September,2,98,Srodmiescie
5800,Bills not included,May,1,55,Srodmiescie
5760,Bills not included,September,3,60,Wola
5700,Bills not included,August,3,55,Srodmiescie
5590,Bills not included,March,2,63,Wilanow
5570,Bills not included,March,2,55,Mokotow
5500,Bills not included,November,2,62,Wola
5500,Bills Included,September,2,50,Wola
5500,Bills not included,July,3,82,Ochota
5400,Bills not included,April,2,60,Mokotow
5400,Bills not included,October,1,50,Wola
5338,Bills Included,October,1,40,Srodmiescie
5300,Bills not included,March,1,45,Wola
5300,Bills Included,January,2,40,Wola
5300,Bills Included,August,1,38,Wola
5200,Bills Included,June,2,54,all
5200,Bills not included,October,1,55,Srodmiescie
5100,Bills not included,September,2,63,Mokotow
5000,Bills Included,March,1,35,Wola
5000,Bills not included,February,3,65,Mokotow
5000,Bills Included,February,1,58,all
5000,Bills Included,February,1,34,Wola
5000,Bills not included,September,2,56,Srodmiescie
5000,Bills Included,January,1,68,Srodmiescie
5000,Bills Included,N/A,1,46,Srodmiescie
5000,Bills not included,October,1,43,Wola
5000,Bills not included,September,1,44,Wola
5000,Bills not included,August,2,54,Wola
5000,Bills not included,July,3,63,Praga Południe
5000,Bills not included,February,3,65,Wola
4950,Bills Included,February,1,34,Srodmiescie
4900,Bills Included,February,2,62,Ursynow
4900,Bills not included,January,1,50,Wola
4900,Bills Included,January,1,47,Srodmiescie
4900,Bills not included,February,2,82,Wola
4800,Bills not included,April,2,60,Mokotow
4800,Bills not included,October,1,58,Wola
4800,Bills not included,November,2,54,Wola
4800,Bills not included,September,1,40,Wola
4700,Bills Included,January,1,39,Wola
4700,Bills not included,October,1,53,Wola
4600,Bills Included,February,1,47,Srodmiescie
4600,Bills not included,December,2,80,Srodmiescie
4600,Bills not included,October,1,42,Wola
4550,Bills Included,N/A,1,36,Wola
4500,Bills not included,April,1,37,Wola
4500,Bills not included,May,2,65,Wilanow
4500,Bills Included,February,1,36,Wola
4500,Bills not included,March,1,35,Wola
4500,Bills Included,February,1,45,Wola
4500,Bills Included,January,1,44,Wola
4500,Bills Included,January,N/A,27,Wola
4500,Bills not included,December,1,40,Wola
4500,Bills not included,September,1,45,Wilanow
4500,Bills not included,September,3,95,Praga-Północ
4500,Bills Included,October,1,43,Wola
4500,Bills Included,September,1,50,Wola
4500,Bills not included,July,2,50,Srodmiescie
4500,Bills not included,July,1,73,Srodmiescie
4500,Bills not included,March,1,41,Wola
4500,Bills not included,September,1,47,Wilanow
4450,Bills Included,October,1,55,Zoliborz
4400,Bills not included,November,1,54,Srodmiescie
4300,Bills Included,February,1,42,Wola
4300,Bills not included,January,1,45,Wola
4300,Bills not included,October,2,60,Mokotow
4300,Bills not included,October,2,50,Wola
4300,Bills not included,September,2,45,Srodmiescie
4300,Bills not included,March,1,35,Srodmiescie
4260,Bills not included,January,1,47,Mokotow
4250,Bills not included,January,1,52,Mokotow
4220,Bills not included,April,1,56,Ochota
4200,Bills not included,May,1,52,Mokotow
4200,Bills Included,February,3,60,Ursynow
4200,Bills Included,March,1,48,Wola
